,,17-7-2016,18-7-2015,19-7-2015,20-7-2014,21-7-2013,22-7-2013,,,,,,,max. time [m],teams,repeat,Arenas,Total [m],Slots [½h]
From,To,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,,,Team,Arena,,RIPS,5,17,1,2,42.5,2
08:00,08:30,,,,,,,,1,Cesar Voxar,B,,GPSR,8,17,3,2,204,7
08:30,09:00,,,,,,,,2,BahiaRT@Home,A ,,Manip+obj,3,17,3,2,76.5,3
09:00,09:30,,Mapping slots,Opening ceremony,Speech Recog,Wake-me-up,,,3,Uchile HomeBreakers,A ,,Navigation,5,17,3,2,127.5,5
09:30,10:00,,Mapping slots,RoboZoo,Speech Recog,Wake-me-up,,,4,JiaoLong,A ,,Person recog,5,17,3,2,127.5,5
10:00,10:30,,Mapping slots,RoboZoo,Speech Recog,Wake-me-up,,,5,Sun@Home,A ,,RoboZoo,60,1,1,1,60,2
10:30,11:00,,Mapping slots,,Speech Recog,Wake-me-up,,,6,Wright Eagle,A ,,Speech recog,5,17,3,2,127.5,5
11:00,11:30,,Mapping slots,,Speech Recog,,Final,,7,Bit@Home,A ,,Open,10,10,1,1,100,4
11:30,12:00,,,Navigation,,,Final,,8,Tinker,B,,Restaurant,10,10,1,1,100,4
12:00,12:30,,,Navigation,,RoboNurse,,,9,Tobi,B,,RoboNurse,10,10,1,1,100,4
12:30,13:00,,,Navigation,GPSR,RoboNurse,,,10,Homer,B,,Wake-me-up,10,10,1,1,100,4
13:00,13:30,,Mapping slots,Navigation,GPSR,RoboNurse,,,11,Demura.net,A ,,Final,10,5,1,1,50,2
13:30,14:00,,Mapping slots,Navigation,GPSR,RoboNurse,,,12,KameRider,A ,,,,,,,,
14:00,14:30,,Mapping slots,,GPSR,,,,13,Erasers,B,,,136,,,,1215.5,47
14:30,15:00,,Mapping slots,Person recog,GPSR,,,,14,Pumas,A ,,,,,,,,
15:00,15:30,,Mapping slots,Person recog,GPSR,,,,15,TechUnited,B,,,,,,,,
15:30,16:00,,,Person recog,GPSR,Restaurant,,,16,aiRobots_NCKU,B,,,,,,,,
16:00,16:30,,Robot Inspec. + poster teaser,Person recog,GPSR,Restaurant,,,17,Skuba,B,,,,,,,,
16:30,17:00,,Robot Inspec. + poster teaser,Person recog,,Restaurant,,,,,,,,,,,,,
17:00,17:30,,Robot Inspec. + poster teaser,,,Restaurant,,,,,,,,,,,,,
17:30,18:00,,Robot Inspec. + poster teaser,Manip+obj,Open,,,,,,,,,,,,,,
18:00,18:30,,,Manip+obj,Open,,,,17,,,,,,,,,,
18:30,19:00,,,Manip+obj,Open,,,,,,,,,,,,,,
19:00,19:30,,Poster session + Reception,,Open,,,,,,,,,,,,,,
19:30,20:00,,Poster session + Reception,,,,,,,,,,,,,,,,
20:00,20:30,Team leaders,Team leaders,Team leaders,Team leaders,Team leaders,,,,,,,,,,,,,
20:30,21:00,Team leaders,Team leaders,Team leaders,Team leaders,Team leaders,,,,,,,,,,,,,
21:00,21:30,,,,,,,,,,,,,,,,,,
21:30,22:00,,,,,,,,,,,,,,,,,,
